uid,wikidata_url,frwiki_url,education_institutions,degrees,majors,occupations,employers,education_detail
2832,http://www.wikidata.org/entity/Q2835495,https://fr.wikipedia.org/wiki/Alfred_Trassy-Paillogues,lycée Pierre-Corneille de Rouen | École nationale des ponts et chaussées,,,ingénieur ou ingénieure | personnalité politique,,lycée Pierre-Corneille de Rouen | École nationale des ponts et chaussées
2833,http://www.wikidata.org/entity/Q437405,https://fr.wikipedia.org/wiki/Catherine_Trautmann,université de Strasbourg,,,personnalité politique | professions libérales et assimilés,,université de Strasbourg
2843,http://www.wikidata.org/entity/Q3103572,https://fr.wikipedia.org/wiki/Georges_Tron,lycée Saint-Louis-de-Gonzague,,,avocat ou avocate | personnalité politique | professions libérales et assimilés,,lycée Saint-Louis-de-Gonzague
2845,http://www.wikidata.org/entity/Q3349213,https://fr.wikipedia.org/wiki/Odette_Trupin,,,,personnalité politique,,
2847,http://www.wikidata.org/entity/Q2849914,https://fr.wikipedia.org/wiki/Anicet_Turinay,,,,personnalité politique,,
2849,http://www.wikidata.org/entity/Q3185696,https://fr.wikipedia.org/wiki/Joseph_Tyrode,,,,personnalité politique,,
2850,http://www.wikidata.org/entity/Q3174880,https://fr.wikipedia.org/wiki/Jean_Ueberschlag,,,,chirurgien-dentiste | personnalité politique,,
2856,http://www.wikidata.org/entity/Q1879461,https://fr.wikipedia.org/wiki/L%C3%A9on_Vachet,,,,personnalité politique,,
2857,http://www.wikidata.org/entity/Q3014769,https://fr.wikipedia.org/wiki/Daniel_Vachez,,,,personnalité politique,,
2859,http://www.wikidata.org/entity/Q1905371,https://fr.wikipedia.org/wiki/Daniel_Vaillant,,,,personnalité politique,,
286,http://www.wikidata.org/entity/Q3026900,https://fr.wikipedia.org/wiki/Didier_Arnal,,,,cadres administratifs et commerciaux d'entreprise | personnalité politique,,
286166,http://www.wikidata.org/entity/Q2965058,https://fr.wikipedia.org/wiki/Christian_Blanc,Institut d'études politiques de Bordeaux | lycée Montesquieu de Bordeaux,,,fonctionnaire | personnalité du monde des affaires | personnalité politique | préfet | président-directeur général,Air France | Merrill Lynch | Régie autonome des transports parisiens,Institut d'études politiques de Bordeaux | lycée Montesquieu de Bordeaux
2865,http://www.wikidata.org/entity/Q3174934,https://fr.wikipedia.org/wiki/Jean_Valleix,,,,personnalité politique,,
2870,http://www.wikidata.org/entity/Q2848745,https://fr.wikipedia.org/wiki/Andr%C3%A9_Vallini,Institut d'études politiques de Grenoble,,,avocat ou avocate | personnalité politique,,Institut d'études politiques de Grenoble
2875,http://www.wikidata.org/entity/Q385595,https://fr.wikipedia.org/wiki/Christian_Vanneste,,,,essayiste | parlementaire | personnalité politique,,
2876,http://www.wikidata.org/entity/Q3085979,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Vannson,,,,personnalité politique,,
2882,http://www.wikidata.org/entity/Q16626229,https://fr.wikipedia.org/wiki/Andr%C3%A9_Vauchez_(homme_politique),,,,personnalité politique,,
2883,http://www.wikidata.org/entity/Q609661,https://fr.wikipedia.org/wiki/Michel_Vauzelle,Institut d'études politiques de Paris,,,avocat ou avocate | fonctionnaire | personnalité politique,,Institut d'études politiques de Paris
2884,http://www.wikidata.org/entity/Q3311053,https://fr.wikipedia.org/wiki/Michel_Vax%C3%A8s,,,,personnalité politique,,
288865,http://www.wikidata.org/entity/Q2982505,https://fr.wikipedia.org/wiki/Colette_Le_Moal,,,,personnalité politique,,
2895,http://www.wikidata.org/entity/Q2689072,https://fr.wikipedia.org/wiki/Michel_Vergnier,,,,pensionné | personnalité politique,,
